customer_id,gender,age,state,city,estimated_salary,plan_type,tenure_months,total_complaints,avg_calls_3m,avg_data_3m,usage_drop_ratio,recharge_frequency,last_month_calls,last_month_data,churn
1,M,69.0,Tripura,Delhi,139879.0,Prepaid,21.0,0.0,103.33333333333333,8217.333333333334,2.25,2.8333333333333335,17.0,4860.0,1
2,F,32.0,West Bengal,Bangalore,104654.0,Prepaid,30.0,0.0,139.66666666666666,11480.0,0.4411764705882353,3.3333333333333335,44.0,15041.0,0
3,F,19.0,West Bengal,Bangalore,98953.0,Prepaid,16.0,,157.33333333333334,10936.0,0.11013215859030837,3.0,24.0,16948.0,0
4,M,61.0,Delhi,Delhi,238610.0,Postpaid,23.0,0.0,108.66666666666667,9375.0,0.19911504424778761,1.0,44.0,,0
5,F,20.0,Karnataka,Hyderabad,1188060.0,Postpaid,30.0,0.0,149.0,6811.666666666667,4.358974358974359,1.0,169.0,16698.0,0
6,F,19.0,Mizoram,Hyderabad,193629.0,Prepaid,22.0,0.0,171.33333333333334,5128.333333333333,1.6598639455782314,2.3333333333333335,243.0,1163.0,0
7,F,41.0,Karnataka,Chennai,205456.0,Prepaid,15.0,1.0,178.33333333333334,12403.333333333334,0.9326923076923077,2.8333333333333335,193.0,13188.0,0
8,F,23.0,West Bengal,Delhi,130078.0,Prepaid,21.0,0.0,139.33333333333334,9913.0,0.7577639751552795,2.3333333333333335,121.0,9708.0,0
9,,29.0,Tripura,Hyderabad,49855.0,Prepaid,1.0,0.0,181.0,8080.0,0.8774509803921569,2.8333333333333335,178.0,6199.0,0
10,F,73.0,Delhi,Delhi,106416.0,Prepaid,23.0,0.0,96.0,10584.333333333334,0.17197452229299362,1.6666666666666667,26.0,19089.0,0
11,,58.0,Tripura,Hyderabad,116752.0,Prepaid,21.0,1.0,77.66666666666667,3660.3333333333335,1.7317073170731707,2.8333333333333335,70.0,2149.0,0
12,M,46.0,Mizoram,Mumbai,202065.0,Postpaid,18.0,0.0,163.66666666666666,13110.333333333334,2.2131147540983607,1.0,134.0,10407.0,0
13,F,60.0,Tamil Nadu,Hyderabad,133632.0,Postpaid,20.0,0.0,226.0,7765.333333333333,0.8385964912280702,1.0,238.0,8808.0,0
14,M,29.0,Tripura,Kolkata,86617.0,Postpaid,26.0,0.0,165.66666666666666,,0.6381322957198443,1.0,163.0,,0
15,M,46.0,West Bengal,Chennai,205412.0,Prepaid,4.0,0.0,156.0,10200.666666666666,,2.3333333333333335,13.0,19723.0,0
16,F,49.0,Arunachal Pradesh,Chennai,169143.0,Prepaid,23.0,0.0,161.66666666666666,9557.0,1.25,,124.0,9308.0,0
